"Date Of Stop","Month Of Stop","Year Of Stop","Time Of Stop","Time Period","Description","Belts","Personal Injury","Commercial License","Commercial Vehicle","Vehicle Type","Year","Make","Model","Color","Race","Gender"
"12/08/2016","12","2016","10:25:00","10-11","EXCEEDING MAXIMUM SPEED: 85 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2017","KIA","SORENTO","GRAY","BLACK","F"
"08/20/2016","08","2016","02:27:00","02-03","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL","No","No","No","No","02 - Automobile","2017","HYUNDAI","SONATA","BLUE, DARK","BLACK","F"
"08/20/2016","08","2016","02:27:00","02-03","DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE","No","No","No","No","02 - Automobile","2017","HYUNDAI","SONATA","BLUE, DARK","BLACK","F"
"08/20/2016","08","2016","02:27:00","02-03","DRIVING WHILE IMPAIRED BY ALCOHOL","No","No","No","No","02 - Automobile","2017","HYUNDAI","SONATA","BLUE, DARK","BLACK","F"
"08/20/2016","08","2016","02:27:00","02-03","DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT","No","No","No","No","02 - Automobile","2017","HYUNDAI","SONATA","BLUE, DARK","BLACK","F"
"10/29/2016","10","2016","20:52:00","20-21","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2017","CHEVROLET","MALIBU","BLUE","HISPANIC","M"
"10/29/2016","10","2016","20:52:00","20-21","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2017","CHEVROLET","MALIBU","BLUE","HISPANIC","M"
"11/08/2016","11","2016","09:12:00","09-10","EXCEEDING MAXIMUM SPEED: 67 MPH IN A POSTED 50 MPH ZONE","No","No","No","No","02 - Automobile","2017","FORD","4S","SILVER","WHITE","F"
"09/17/2016","09","2016","09:58:00","09-10","PARKING VEH. WHERE PROHIBITED BY OFFICIAL SIGN","No","No","No","No","02 - Automobile","2017","TOYT","4D","BLACK","BLACK","M"
"08/12/2016","08","2016","21:35:00","21-22","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2017","FORD","FUSION","WHITE","ASIAN","M"
"08/25/2016","08","2016","22:10:00","22-23","FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE","No","No","No","No","05 - Light Duty Truck","2017","AUDI","SUV","GRAY","OTHER","M"
"01/19/2017","01","2017","11:40:00","11-12","FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE","No","No","No","No","02 - Automobile","2017","NISSAN","ALTIMA","SILVER","BLACK","F"
"01/19/2017","01","2017","11:40:00","11-12","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","No","No","No","No","02 - Automobile","2017","NISSAN","ALTIMA","SILVER","BLACK","F"
"01/19/2017","01","2017","11:40:00","11-12","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2017","NISSAN","ALTIMA","SILVER","BLACK","F"
"01/27/2017","01","2017","23:38:00","23-24","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","No","No","No","No","02 - Automobile","2017","JEEP","LIMITED","RED","HISPANIC","F"
"02/19/2017","02","2017","16:27:00","16-17","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2017","CHEVROLET","TAHOE","BLACK","ASIAN","F"
